Date,Series,Value
2017-01-06,Volume Intensity,0.2328
2017-01-07,Volume Intensity,0.2342
2017-01-08,Volume Intensity,0.2363
2017-01-09,Volume Intensity,0.2492
2017-01-10,Volume Intensity,0.248
2017-01-11,Volume Intensity,0.2447
2017-01-12,Volume Intensity,0.2399
2017-01-13,Volume Intensity,0.2413
2017-01-14,Volume Intensity,0.2512
2017-01-15,Volume Intensity,0.2398
2017-01-16,Volume Intensity,0.2558
2017-01-17,Volume Intensity,0.2785
2017-01-18,Volume Intensity,0.2846
2017-01-19,Volume Intensity,0.2904
2017-01-20,Volume Intensity,0.295
2017-01-21,Volume Intensity,0.2992
2017-01-22,Volume Intensity,0.2795
2017-01-23,Volume Intensity,0.2647
2017-01-24,Volume Intensity,0.2653
2017-01-25,Volume Intensity,0.2631
2017-01-26,Volume Intensity,0.2547
2017-01-27,Volume Intensity,0.2576
2017-01-28,Volume Intensity,0.2602
2017-01-29,Volume Intensity,0.2734
2017-01-30,Volume Intensity,0.2986
2017-01-31,Volume Intensity,0.3142
2017-02-01,Volume Intensity,0.3247
2017-02-02,Volume Intensity,0.3311
2017-02-03,Volume Intensity,0.3384
2017-02-04,Volume Intensity,0.3147
2017-02-05,Volume Intensity,0.2869
2017-02-06,Volume Intensity,0.2768
2017-02-07,Volume Intensity,0.2747
2017-02-08,Volume Intensity,0.2672
2017-02-09,Volume Intensity,0.263
2017-02-10,Volume Intensity,0.2756
2017-02-11,Volume Intensity,0.2592
2017-02-12,Volume Intensity,0.254
2017-02-13,Volume Intensity,0.245
2017-02-14,Volume Intensity,0.2362
2017-02-15,Volume Intensity,0.2363
2017-02-16,Volume Intensity,0.2317
2017-02-17,Volume Intensity,0.2517
2017-02-18,Volume Intensity,0.2452
2017-02-19,Volume Intensity,0.2439
2017-02-20,Volume Intensity,0.2648
2017-02-21,Volume Intensity,0.265
2017-02-22,Volume Intensity,0.2655
2017-02-23,Volume Intensity,0.2571
2017-02-24,Volume Intensity,0.2626
2017-02-25,Volume Intensity,0.2721
2017-02-26,Volume Intensity,0.2621
2017-02-27,Volume Intensity,0.2598
2017-02-28,Volume Intensity,0.2653
2017-03-01,Volume Intensity,0.2716
2017-03-02,Volume Intensity,0.2657
2017-03-03,Volume Intensity,0.2625
2017-03-04,Volume Intensity,0.257
2017-03-05,Volume Intensity,0.2593
2017-03-06,Volume Intensity,0.2635
2017-03-07,Volume Intensity,0.2599
2017-03-08,Volume Intensity,0.2718
2017-03-09,Volume Intensity,0.2775
2017-03-10,Volume Intensity,0.2827
2017-03-11,Volume Intensity,0.2729
2017-03-12,Volume Intensity,0.2679
2017-03-13,Volume Intensity,0.2862
2017-03-14,Volume Intensity,0.2843
2017-03-15,Volume Intensity,0.2918
2017-03-16,Volume Intensity,0.2964
2017-03-17,Volume Intensity,0.3091
2017-03-18,Volume Intensity,0.3164
2017-03-19,Volume Intensity,0.2931
2017-03-20,Volume Intensity,0.2896
2017-03-21,Volume Intensity,0.2753
2017-03-22,Volume Intensity,0.2738
2017-03-23,Volume Intensity,0.2707
2017-03-24,Volume Intensity,0.2651
2017-03-25,Volume Intensity,0.2785
2017-03-26,Volume Intensity,0.281
2017-03-27,Volume Intensity,0.2969
2017-03-28,Volume Intensity,0.3018
2017-03-29,Volume Intensity,0.318
2017-03-30,Volume Intensity,0.3168
2017-03-31,Volume Intensity,0.3157
2017-04-01,Volume Intensity,0.3114
2017-04-02,Volume Intensity,0.3049
2017-04-03,Volume Intensity,0.3066
2017-04-04,Volume Intensity,0.2974
2017-04-05,Volume Intensity,0.2993
2017-04-06,Volume Intensity,0.2992
2017-04-07,Volume Intensity,0.2971
2017-04-08,Volume Intensity,0.283
2017-04-09,Volume Intensity,0.2583
2017-04-10,Volume Intensity,0.2441
2017-04-11,Volume Intensity,0.2381
2017-04-12,Volume Intensity,0.2356
2017-04-13,Volume Intensity,0.2378
2017-04-14,Volume Intensity,0.2408
2017-04-15,Volume Intensity,0.2453
2017-04-16,Volume Intensity,0.2517
2017-04-17,Volume Intensity,0.2316
2017-04-18,Volume Intensity,0.2312
2017-04-19,Volume Intensity,0.2366
2017-04-20,Volume Intensity,0.2467
2017-04-21,Volume Intensity,0.2529
2017-04-22,Volume Intensity,0.2406
2017-04-23,Volume Intensity,0.2553
2017-04-24,Volume Intensity,0.2509
2017-04-25,Volume Intensity,0.2458
2017-04-26,Volume Intensity,0.2396
2017-04-27,Volume Intensity,0.2474
2017-04-28,Volume Intensity,0.271
2017-04-29,Volume Intensity,0.2922
2017-04-30,Volume Intensity,0.3034
2017-05-01,Volume Intensity,0.3115
2017-05-02,Volume Intensity,0.3177
2017-05-03,Volume Intensity,0.3122
2017-05-04,Volume Intensity,0.302
2017-05-05,Volume Intensity,0.2945
2017-05-06,Volume Intensity,0.2865
2017-05-07,Volume Intensity,0.2866
2017-05-08,Volume Intensity,0.2991
2017-05-09,Volume Intensity,0.2975
2017-05-10,Volume Intensity,0.2969
2017-05-11,Volume Intensity,0.3011
2017-05-12,Volume Intensity,0.2992
2017-05-13,Volume Intensity,0.2874
2017-05-14,Volume Intensity,0.2741
2017-05-15,Volume Intensity,0.2856
2017-05-16,Volume Intensity,0.2903
2017-05-17,Volume Intensity,0.296
2017-05-18,Volume Intensity,0.3004
2017-05-19,Volume Intensity,0.3064
2017-05-20,Volume Intensity,0.289
2017-05-21,Volume Intensity,0.2903
2017-05-22,Volume Intensity,0.2887
2017-05-23,Volume Intensity,0.2764
2017-05-24,Volume Intensity,0.2693
2017-05-25,Volume Intensity,0.2784
2017-05-26,Volume Intensity,0.2901
2017-05-27,Volume Intensity,0.2719
2017-05-28,Volume Intensity,0.2562
2017-05-29,Volume Intensity,0.236
2017-05-30,Volume Intensity,0.238
2017-05-31,Volume Intensity,0.222
2017-06-01,Volume Intensity,0.2226
2017-06-02,Volume Intensity,0.2296
2017-06-03,Volume Intensity,0.2302
2017-06-04,Volume Intensity,0.2424
2017-06-05,Volume Intensity,0.2437
2017-06-06,Volume Intensity,0.2586
2017-06-07,Volume Intensity,0.2635
2017-06-08,Volume Intensity,0.263
2017-06-09,Volume Intensity,0.2825
2017-06-10,Volume Intensity,0.2816
2017-06-11,Volume Intensity,0.2665
2017-06-12,Volume Intensity,0.2625
2017-06-13,Volume Intensity,0.2589
2017-06-14,Volume Intensity,0.2608
2017-06-15,Volume Intensity,0.2517
2017-06-16,Volume Intensity,0.2617
2017-06-17,Volume Intensity,0.2783
2017-06-18,Volume Intensity,0.2933
2017-06-19,Volume Intensity,0.2982
2017-06-20,Volume Intensity,0.3024
2017-06-21,Volume Intensity,0.3137
2017-06-22,Volume Intensity,0.321
2017-06-23,Volume Intensity,0.3226
2017-06-24,Volume Intensity,0.2859
2017-06-25,Volume Intensity,0.289
2017-06-26,Volume Intensity,0.2889
2017-06-27,Volume Intensity,0.2761
