COUNTRY,Treaty Description,Treaty Name,Signature Date,"Ratification Date, Accession(a), Succession(d) Date"
Command item,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1
Afghanistan,International Covenant on Civil and Political Rights,CCPR,,24 Jan 1983 (a)
Albania,International Covenant on Civil and Political Rights,CCPR,,04 Oct 1991 (a)
Algeria,International Covenant on Civil and Political Rights,CCPR,10 Dec 1968,12 Sep 1989
Andorra,International Covenant on Civil and Political Rights,CCPR,05 Aug 2002,22 Sep 2006
Angola,International Covenant on Civil and Political Rights,CCPR,,10 Jan 1992 (a)
Antigua and Barbuda,International Covenant on Civil and Political Rights,CCPR,,03 Jul 2019 (a)
Argentina,International Covenant on Civil and Political Rights,CCPR,19 Feb 1968,08 Aug 1986
Armenia,International Covenant on Civil and Political Rights,CCPR,,23 Jun 1993 (a)
Australia,International Covenant on Civil and Political Rights,CCPR,18 Dec 1972,13 Aug 1980
Austria,International Covenant on Civil and Political Rights,CCPR,10 Dec 1973,10 Sep 1978
Azerbaijan,International Covenant on Civil and Political Rights,CCPR,,13 Aug 1992 (a)
Bahamas,International Covenant on Civil and Political Rights,CCPR,04 Dec 2008,23 Dec 2008
Bahrain,International Covenant on Civil and Political Rights,CCPR,,20 Sep 2006 (a)
Bangladesh,International Covenant on Civil and Political Rights,CCPR,,06 Sep 2000 (a)
Barbados,International Covenant on Civil and Political Rights,CCPR,,05 Jan 1973 (a)
Belarus,International Covenant on Civil and Political Rights,CCPR,19 Mar 1968,12 Nov 1973
Belgium,International Covenant on Civil and Political Rights,CCPR,10 Dec 1968,21 Apr 1983
Belize,International Covenant on Civil and Political Rights,CCPR,,10 Jun 1996 (a)
Benin,International Covenant on Civil and Political Rights,CCPR,,12 Mar 1992 (a)
Bhutan,International Covenant on Civil and Political Rights,CCPR,,
Bolivia (Plurinational State of),International Covenant on Civil and Political Rights,CCPR,,12 Aug 1982 (a)
Bosnia and Herzegovina,International Covenant on Civil and Political Rights,CCPR,,01 Sep 1993 (d)
Botswana,International Covenant on Civil and Political Rights,CCPR,08 Sep 2000,08 Sep 2000
Brazil,International Covenant on Civil and Political Rights,CCPR,,24 Jan 1992 (a)
Brunei Darussalam,International Covenant on Civil and Political Rights,CCPR,,
Bulgaria,International Covenant on Civil and Political Rights,CCPR,08 Oct 1968,21 Sep 1970
Burkina Faso,International Covenant on Civil and Political Rights,CCPR,,04 Jan 1999 (a)
Burundi,International Covenant on Civil and Political Rights,CCPR,,09 May 1990 (a)
Cabo Verde,International Covenant on Civil and Political Rights,CCPR,,06 Aug 1993 (a)
Cambodia,International Covenant on Civil and Political Rights,CCPR,17 Oct 1980,26 May 1992
Cameroon,International Covenant on Civil and Political Rights,CCPR,,27 Jun 1984 (a)
Canada,International Covenant on Civil and Political Rights,CCPR,,19 May 1976 (a)
Central African Republic,International Covenant on Civil and Political Rights,CCPR,,08 May 1981 (a)
Chad,International Covenant on Civil and Political Rights,CCPR,,09 Jun 1995 (a)
Chile,International Covenant on Civil and Political Rights,CCPR,16 Sep 1969,10 Feb 1972
China,International Covenant on Civil and Political Rights,CCPR,05 Oct 1998,
Colombia,International Covenant on Civil and Political Rights,CCPR,21 Dec 1966,29 Oct 1969
Comoros,International Covenant on Civil and Political Rights,CCPR,25 Sep 2008,
Congo,International Covenant on Civil and Political Rights,CCPR,,05 Oct 1983 (a)
Cook Islands,International Covenant on Civil and Political Rights,CCPR,,
Costa Rica,International Covenant on Civil and Political Rights,CCPR,19 Dec 1966,29 Nov 1968
CГґte d'Ivoire,International Covenant on Civil and Political Rights,CCPR,,26 Mar 1992 (a)
Croatia,International Covenant on Civil and Political Rights,CCPR,,12 Oct 1992 (d)
Cuba,International Covenant on Civil and Political Rights,CCPR,28 Feb 2008,
Cyprus,International Covenant on Civil and Political Rights,CCPR,19 Dec 1966,02 Apr 1969
Czech Republic,International Covenant on Civil and Political Rights,CCPR,,22 Feb 1993 (d)
Democratic People's Republic of Korea,International Covenant on Civil and Political Rights,CCPR,,14 Sep 1981 (a)
Democratic Republic of the Congo,International Covenant on Civil and Political Rights,CCPR,,01 Nov 1976 (a)
Denmark,International Covenant on Civil and Political Rights,CCPR,20 Mar 1968,06 Jan 1972
Djibouti,International Covenant on Civil and Political Rights,CCPR,,05 Nov 2002 (a)
Dominica,International Covenant on Civil and Political Rights,CCPR,,17 Jun 1993 (a)
Dominican Republic,International Covenant on Civil and Political Rights,CCPR,,04 Jan 1978 (a)
Ecuador,International Covenant on Civil and Political Rights,CCPR,04 Apr 1968,06 Mar 1969
Egypt,International Covenant on Civil and Political Rights,CCPR,04 Aug 1967,14 Jan 1982
El Salvador,International Covenant on Civil and Political Rights,CCPR,21 Sep 1967,30 Nov 1979
Equatorial Guinea,International Covenant on Civil and Political Rights,CCPR,,25 Sep 1987 (a)
Eritrea,International Covenant on Civil and Political Rights,CCPR,,22 Jan 2002 (a)
Estonia,International Covenant on Civil and Political Rights,CCPR,,21 Oct 1991 (a)
Eswatini,International Covenant on Civil and Political Rights,CCPR,,26 Mar 2004 (a)
Ethiopia,International Covenant on Civil and Political Rights,CCPR,,11 Jun 1993 (a)
Fiji,International Covenant on Civil and Political Rights,CCPR,,16 Aug 2018 (a)
Finland,International Covenant on Civil and Political Rights,CCPR,11 Oct 1967,19 Aug 1975
France,International Covenant on Civil and Political Rights,CCPR,,04 Nov 1980 (a)
Gabon,International Covenant on Civil and Political Rights,CCPR,,21 Jan 1983 (a)
Gambia,International Covenant on Civil and Political Rights,CCPR,,22 Mar 1979 (a)
Georgia,International Covenant on Civil and Political Rights,CCPR,,03 May 1994 (a)
Germany,International Covenant on Civil and Political Rights,CCPR,09 Oct 1968,17 Dec 1973
Ghana,International Covenant on Civil and Political Rights,CCPR,07 Sep 2000,07 Sep 2000
Greece,International Covenant on Civil and Political Rights,CCPR,,05 May 1997 (a)
Grenada,International Covenant on Civil and Political Rights,CCPR,,06 Sep 1991 (a)
Guatemala,International Covenant on Civil and Political Rights,CCPR,,05 May 1992 (a)
Guinea,International Covenant on Civil and Political Rights,CCPR,28 Feb 1967,24 Jan 1978
Guinea-Bissau,International Covenant on Civil and Political Rights,CCPR,12 Sep 2000,01 Nov 2010
Guyana,International Covenant on Civil and Political Rights,CCPR,22 Aug 1968,15 Feb 1977
Haiti,International Covenant on Civil and Political Rights,CCPR,,06 Feb 1991 (a)
Holy See,International Covenant on Civil and Political Rights,CCPR,,
Honduras,International Covenant on Civil and Political Rights,CCPR,19 Dec 1966,25 Aug 1997
Hungary,International Covenant on Civil and Political Rights,CCPR,25 Mar 1969,17 Jan 1974
Iceland,International Covenant on Civil and Political Rights,CCPR,30 Dec 1968,22 Aug 1979
India,International Covenant on Civil and Political Rights,CCPR,,10 Apr 1979 (a)
Indonesia,International Covenant on Civil and Political Rights,CCPR,,23 Feb 2006 (a)
Iran (Islamic Republic of),International Covenant on Civil and Political Rights,CCPR,04 Apr 1968,24 Jun 1975
Iraq,International Covenant on Civil and Political Rights,CCPR,18 Feb 1969,25 Jan 1971
Ireland,International Covenant on Civil and Political Rights,CCPR,01 Oct 1973,08 Dec 1989
Israel,International Covenant on Civil and Political Rights,CCPR,19 Dec 1966,03 Oct 1991
Italy,International Covenant on Civil and Political Rights,CCPR,18 Jan 1967,15 Sep 1978
Jamaica,International Covenant on Civil and Political Rights,CCPR,19 Dec 1966,03 Oct 1975
Japan,International Covenant on Civil and Political Rights,CCPR,30 May 1978,21 Jun 1979
Jordan,International Covenant on Civil and Political Rights,CCPR,30 Jun 1972,28 May 1975
Kazakhstan,International Covenant on Civil and Political Rights,CCPR,02 Dec 2003,24 Jan 2006
Kenya,International Covenant on Civil and Political Rights,CCPR,,01 May 1972 (a)
Kiribati,International Covenant on Civil and Political Rights,CCPR,,
Kuwait,International Covenant on Civil and Political Rights,CCPR,,21 May 1996 (a)
Kyrgyzstan,International Covenant on Civil and Political Rights,CCPR,,07 Oct 1994 (a)
Lao People's Democratic Republic,International Covenant on Civil and Political Rights,CCPR,07 Dec 2000,25 Sep 2009
Latvia,International Covenant on Civil and Political Rights,CCPR,,14 Apr 1992 (a)
Lebanon,International Covenant on Civil and Political Rights,CCPR,,03 Nov 1972 (a)
Lesotho,International Covenant on Civil and Political Rights,CCPR,,09 Sep 1992 (a)
Liberia,International Covenant on Civil and Political Rights,CCPR,18 Apr 1967,22 Sep 2004
Libya,International Covenant on Civil and Political Rights,CCPR,,15 May 1970 (a)
Liechtenstein,International Covenant on Civil and Political Rights,CCPR,,10 Dec 1998 (a)
Lithuania,International Covenant on Civil and Political Rights,CCPR,,20 Nov 1991 (a)
Luxembourg,International Covenant on Civil and Political Rights,CCPR,26 Nov 1974,18 Aug 1983
Madagascar,International Covenant on Civil and Political Rights,CCPR,17 Sep 1969,21 Jun 1971
Malawi,International Covenant on Civil and Political Rights,CCPR,,22 Dec 1993 (a)
Malaysia,International Covenant on Civil and Political Rights,CCPR,,
Maldives,International Covenant on Civil and Political Rights,CCPR,,19 Sep 2006 (a)
Mali,International Covenant on Civil and Political Rights,CCPR,,16 Jul 1974 (a)
Malta,International Covenant on Civil and Political Rights,CCPR,,13 Sep 1990 (a)
Marshall Islands,International Covenant on Civil and Political Rights,CCPR,,12 Mar 2018 (a)
Mauritania,International Covenant on Civil and Political Rights,CCPR,,17 Nov 2004 (a)
Mauritius,International Covenant on Civil and Political Rights,CCPR,,12 Dec 1973 (a)
Mexico,International Covenant on Civil and Political Rights,CCPR,,23 Mar 1981 (a)
Micronesia (Federated States of),International Covenant on Civil and Political Rights,CCPR,,
Monaco,International Covenant on Civil and Political Rights,CCPR,26 Jun 1997,28 Aug 1997
Mongolia,International Covenant on Civil and Political Rights,CCPR,05 Jun 1968,18 Nov 1974
Montenegro,International Covenant on Civil and Political Rights,CCPR,,23 Oct 2006 (d)
Morocco,International Covenant on Civil and Political Rights,CCPR,19 Jan 1977,03 May 1979
Mozambique,International Covenant on Civil and Political Rights,CCPR,,21 Jul 1993 (a)
Myanmar,International Covenant on Civil and Political Rights,CCPR,,
Namibia,International Covenant on Civil and Political Rights,CCPR,,28 Nov 1994 (a)
Nauru,International Covenant on Civil and Political Rights,CCPR,12 Nov 2001,
Nepal,International Covenant on Civil and Political Rights,CCPR,,14 May 1991 (a)
Netherlands,International Covenant on Civil and Political Rights,CCPR,25 Jun 1969,11 Dec 1978
New Zealand,International Covenant on Civil and Political Rights,CCPR,12 Nov 1968,28 Dec 1978
Nicaragua,International Covenant on Civil and Political Rights,CCPR,,12 Mar 1980 (a)
Niger,International Covenant on Civil and Political Rights,CCPR,,07 Mar 1986 (a)
Nigeria,International Covenant on Civil and Political Rights,CCPR,,29 Jul 1993 (a)
Niue,International Covenant on Civil and Political Rights,CCPR,,
North Macedonia,International Covenant on Civil and Political Rights,CCPR,,18 Jan 1994 (d)
Norway,International Covenant on Civil and Political Rights,CCPR,20 Mar 1968,13 Sep 1972
Oman,International Covenant on Civil and Political Rights,CCPR,,
Pakistan,International Covenant on Civil and Political Rights,CCPR,17 Apr 2008,23 Jun 2010
Palau,International Covenant on Civil and Political Rights,CCPR,20 Sep 2011,
Panama,International Covenant on Civil and Political Rights,CCPR,27 Jul 1976,08 Mar 1977
Papua New Guinea,International Covenant on Civil and Political Rights,CCPR,,21 Jul 2008 (a)
Paraguay,International Covenant on Civil and Political Rights,CCPR,,10 Jun 1992 (a)
Peru,International Covenant on Civil and Political Rights,CCPR,11 Aug 1977,28 Apr 1978
Philippines,International Covenant on Civil and Political Rights,CCPR,19 Dec 1966,23 Oct 1986
Poland,International Covenant on Civil and Political Rights,CCPR,02 Mar 1967,18 Mar 1977
Portugal,International Covenant on Civil and Political Rights,CCPR,07 Oct 1976,15 Jun 1978
Qatar,International Covenant on Civil and Political Rights,CCPR,,21 May 2018 (a)
Republic of Korea,International Covenant on Civil and Political Rights,CCPR,,10 Apr 1990 (a)
Republic of Moldova,International Covenant on Civil and Political Rights,CCPR,,26 Jan 1993 (a)
Romania,International Covenant on Civil and Political Rights,CCPR,27 Jun 1968,09 Dec 1974
Russian Federation,International Covenant on Civil and Political Rights,CCPR,18 Mar 1968,16 Oct 1973
Rwanda,International Covenant on Civil and Political Rights,CCPR,,16 Apr 1975 (a)
Saint Kitts and Nevis,International Covenant on Civil and Political Rights,CCPR,,
Saint Lucia,International Covenant on Civil and Political Rights,CCPR,22 Sep 2011,
Saint Vincent and the Grenadines,International Covenant on Civil and Political Rights,CCPR,,09 Nov 1981 (a)
Samoa,International Covenant on Civil and Political Rights,CCPR,,15 Feb 2008 (a)
San Marino,International Covenant on Civil and Political Rights,CCPR,,18 Oct 1985 (a)
Sao Tome and Principe,International Covenant on Civil and Political Rights,CCPR,31 Oct 1995,10 Jan 2017
Saudi Arabia,International Covenant on Civil and Political Rights,CCPR,,
Senegal,International Covenant on Civil and Political Rights,CCPR,06 Jul 1970,13 Feb 1978
Serbia,International Covenant on Civil and Political Rights,CCPR,,12 Mar 2001 (d)
Seychelles,International Covenant on Civil and Political Rights,CCPR,,05 May 1992 (a)
Sierra Leone,International Covenant on Civil and Political Rights,CCPR,,23 Aug 1996 (a)
Singapore,International Covenant on Civil and Political Rights,CCPR,,
Slovakia,International Covenant on Civil and Political Rights,CCPR,,28 May 1993 (d)
Slovenia,International Covenant on Civil and Political Rights,CCPR,,06 Jul 1992 (d)
Solomon Islands,International Covenant on Civil and Political Rights,CCPR,,
Somalia,International Covenant on Civil and Political Rights,CCPR,,24 Jan 1990 (a)
South Africa,International Covenant on Civil and Political Rights,CCPR,03 Oct 1994,10 Dec 1998
South Sudan,International Covenant on Civil and Political Rights,CCPR,,
Spain,International Covenant on Civil and Political Rights,CCPR,28 Sep 1976,27 Apr 1977
Sri Lanka,International Covenant on Civil and Political Rights,CCPR,,11 Jun 1980 (a)
State of Palestine,International Covenant on Civil and Political Rights,CCPR,,02 Apr 2014 (a)
Sudan,International Covenant on Civil and Political Rights,CCPR,,18 Mar 1986 (a)
Suriname,International Covenant on Civil and Political Rights,CCPR,,28 Dec 1976 (a)
Sweden,International Covenant on Civil and Political Rights,CCPR,29 Sep 1967,06 Dec 1971
Switzerland,International Covenant on Civil and Political Rights,CCPR,,18 Jun 1992 (a)
Syrian Arab Republic,International Covenant on Civil and Political Rights,CCPR,,21 Apr 1969 (a)
Tajikistan,International Covenant on Civil and Political Rights,CCPR,,04 Jan 1999 (a)
Thailand,International Covenant on Civil and Political Rights,CCPR,,29 Oct 1996 (a)
Timor-Leste,International Covenant on Civil and Political Rights,CCPR,,18 Sep 2003 (a)
Togo,International Covenant on Civil and Political Rights,CCPR,,24 May 1984 (a)
Tonga,International Covenant on Civil and Political Rights,CCPR,,
Trinidad and Tobago,International Covenant on Civil and Political Rights,CCPR,,21 Dec 1978 (a)
Tunisia,International Covenant on Civil and Political Rights,CCPR,30 Apr 1968,18 Mar 1969
TГјrkiye,International Covenant on Civil and Political Rights,CCPR,15 Aug 2000,23 Sep 2003
Turkmenistan,International Covenant on Civil and Political Rights,CCPR,,01 May 1997 (a)
Tuvalu,International Covenant on Civil and Political Rights,CCPR,,
Uganda,International Covenant on Civil and Political Rights,CCPR,,21 Jun 1995 (a)
Ukraine,International Covenant on Civil and Political Rights,CCPR,20 Mar 1968,12 Nov 1973
United Arab Emirates,International Covenant on Civil and Political Rights,CCPR,,
United Kingdom of Great Britain and Northern Ireland,International Covenant on Civil and Political Rights,CCPR,16 Sep 1968,20 May 1976
United Republic of Tanzania,International Covenant on Civil and Political Rights,CCPR,,11 Jun 1976 (a)
United States of America,International Covenant on Civil and Political Rights,CCPR,05 Oct 1977,08 Jun 1992
Uruguay,International Covenant on Civil and Political Rights,CCPR,21 Feb 1967,01 Apr 1970
Uzbekistan,International Covenant on Civil and Political Rights,CCPR,,28 Sep 1995 (a)
Vanuatu,International Covenant on Civil and Political Rights,CCPR,29 Nov 2007,21 Nov 2008
Venezuela (Bolivarian Republic of),International Covenant on Civil and Political Rights,CCPR,24 Jun 1969,10 May 1978
Viet Nam,International Covenant on Civil and Political Rights,CCPR,,24 Sep 1982 (a)
Yemen,International Covenant on Civil and Political Rights,CCPR,,09 Feb 1987 (a)
Zambia,International Covenant on Civil and Political Rights,CCPR,,10 Apr 1984 (a)
Zimbabwe,International Covenant on Civil and Political Rights,CCPR,,13 May 1991 (a)
,|,,,
Command item  |,,,,
Command item,,,,
,|,,,
